Station,Latitude,Longitude,Depth,Established,Retired
AFISH_1,27.3020,-82.6202,31,8/10/2017,
AM_N_1,27.4975,-82.6985,5,5/25/2017,
AM_N_2,27.4973,-82.6959,8,5/25/2017,
AM_N_3,27.4972,-82.6936,10,5/25/2017,
AM_N_4,27.4969,-82.6914,5,5/25/2017,
AM_S_1,27.4951,-82.7014,5,5/25/2017,
AM_S_2,27.4941,-82.6974,9,5/25/2017,
AM_S_3,27.4938,-82.6951,8,5/25/2017,
AM_S_4,27.4936,-82.6927,4,5/25/2017,
AM_S_5,27.4937,-82.6906,1,5/25/2017,
BC_IN,27.4171,-82.5731,3,11/28/2017,
BC_OUT,27.4135,-82.5783,6,5/15/2017,
BP_IN_M,27.3046,-82.5614,,4/26/2016,1/19/2017
BP_IN_M2,27.3046,-82.5614,8,4/13/2017,
BP_IN_N,27.3048,-82.5631,20,5/3/2016,
BP_IN_S,27.3042,-82.5600,9,4/26/2016,
BP_OUT_M,27.2993,-82.5628,12,4/26/2016,
BP_OUT_N,27.2996,-82.5642,14,4/26/2016,
BP_OUT_S,27.2989,-82.5611,22,5/3/2016,
CIS_1,27.3312,-82.5762,6,1/23/2019,
HAN_1,27.3047,-82.5553,7,2/11/2019,
HB_IN,27.3272,-82.5355,3,11/28/2017,
HB_OUT,27.3254,-82.5402,5,5/15/2017,
HullDock,27.3006,-82.5549,4,8/13/2020,9/25/2020
LB_IN_M,27.4419,-82.6854,10,3/17/2017,
LB_IN_N,27.4458,-82.6872,16,3/17/2017,
LB_IN_S,27.4419,-82.6854,14,3/17/2017,
LB_OUT_N,27.4439,-82.6895,10,3/17/2017,
LB_OUT_S,27.4431,-82.6890,21,3/17/2017,
LBC_100,27.3378,-82.6006,9,2/14/2019,
LBC_500,27.3355,-82.6036,18,2/14/2019,
LBC_900,27.3330,-82.6066,21,2/14/2019,
LBP_1,27.4274,-82.6316,6,7/25/2017,
M1_1,27.3197,-82.7202,40,8/6/2018,
M7_1,27.2710,-82.8002,48,8/10/2017,
M8_1,27.2091,-82.8018,64,8/6/2018,
NC_IN,27.2145,-82.4968,3,11/30/2017,
NC_OUT,27.2164,-82.4987,4,6/8/2017,
NP_IN_N,27.3361,-82.5812,12,4/25/2016,
NP_IN_S,27.3353,-82.5803,10,4/25/2016,
NP_OUT_N,27.3305,-82.5864,15,4/25/2016,8/3/2017
NP_OUT_S,27.3299,-82.5859,14,4/26/2016,8/3/2017
NP_OUT_S_SHOAL,27.3280,-82.5881,13,3/22/2018,
OKC_N,27.3254,-82.5665,14,8/13/2020,
OKC_S,27.3237,-82.5658,13,8/13/2020,
PC_IN,27.2724,-82.5319,3,11/30/2017,
PC_OUT,27.2715,-82.5356,8,5/15/2017,
QuickPoint_1,27.3432,-82.5830,6,8/14/2020,
RINGLING,27.3831,-82.5661,,10/13/2016,11/30/2016
RNG_NE,27.3336,-82.5564,8,8/13/2020,
RNG_NW,27.3311,-82.5585,11,8/13/2020,
RNG_SE,27.3321,-82.5541,12,8/13/2020,
RNG_SW,27.3292,-82.5564,12,8/13/2020,
SBWCLAM_Site1,27.3753,-82.5744,9,8/14/2020,
SBWCLAM_Site2,27.4170,-82.6185,9,8/14/2020,
SBWCLAM_Site3,27.3429,-82.5553,9,8/13/2020,
SBWCLAM_Site4,27.3503,-82.5762,10,8/13/2020,
SC_IN,27.1680,-82.4814,3,11/30/2017,
SC_OUT,27.1687,-82.4855,4,6/8/2017,
SKB_N_E,27.3036,-82.5440,6,1/23/2018,
SKB_S_W,27.3020,-82.5458,6,1/23/2018,
SKC_100,27.2459,-82.5378,10,2/14/2019,
SKC_500,27.2438,-82.5412,23,2/14/2019,
SKC_900,27.2419,-82.5445,25,2/14/2019,
SLVR_1,27.2853,-82.6002,31,11/18/2016,
TI_1,27.4368,-82.6488,8,3/28/2018,
VIN_IN_N,27.1138,-82.4648,8,5/9/2017,
VIN_IN_S,27.1127,-82.4647,6,5/9/2017,
VIN_OUT_N,27.1127,-82.4703,10,5/9/2017,12/4/2017
VIN_OUT_S,27.1123,-82.4699,18,5/9/2017,
WB_IN,27.3554,-82.5470,3,11/28/2017,
WB_OUT,27.3532,-82.5521,4,5/15/2017,7/15/2019
WK_1,27.4154,-82.6386,8,3/28/2018,
